Rank,Released,Movie,"DomesticBox Office","International Box Office","Worldwide Box Office"
179,2007,Bridge to Terabithia,"$82,234,139","$55,750,649","$137,984,788"
180,2006,Eight Below,"$81,612,565","$38,843,429","$120,455,994"
181,2002,Snow Dogs,"$81,150,692","$35,747,336","$116,898,028"
182,1995,While You Were Sleeping,"$81,057,016","$101,000,000","$182,057,016"
183,2011,War Horse,"$79,883,359","$76,932,170","$156,815,529"
184,2009,Hannah Montana: The Movie,"$79,576,189","$89,597,017","$169,173,206"
185,1988,Cocktail,"$78,222,753",,"$78,222,753"
186,2016,Alice Through the Looking Glass,"$77,042,381","$199,885,731","$276,928,112"
187,1995,Father of the Bride Part II,"$76,578,911",,"$76,578,911"
188,2016,Pete’s Dragon,"$76,233,151","$61,535,824","$137,768,975"
189,2003,The Haunted Mansion,"$75,817,994","$79,932,634","$155,750,628"
190,2002,The Rookie,"$75,600,072","$4,891,444","$80,491,516"
191,1998,The Horse Whisperer,"$75,383,563","$111,500,000","$186,883,563"
192,2004,Ladder 49,"$74,541,707","$27,791,141","$102,332,848"
193,1998,"Six Days, Seven Nights","$74,339,294","$90,460,706","$164,800,000"
194,2012,John Carter,"$73,058,679","$209,719,421","$282,778,100"
195,2015,Bridge of Spies,"$72,313,754","$90,184,584","$162,498,338"
196,1986,Ruthless People,"$71,624,879",,"$71,624,879"
197,1990,3 Men and a Little Lady,"$71,609,321",,"$71,609,321"
198,1989,Turner & Hooch,"$71,079,915",,"$71,079,915"
199,2000,The Kid,"$69,688,384",,"$69,688,384"
200,1993,Cool Runnings,"$68,856,263","$86,152,646","$155,008,909"
